EXOAURORA PROXIMA CENTAURI B 5577A OI LINE SEARCH
=================================================

ORIGIN:            http://archive.eso.org/cms.html
NUMBER OF SPECTRA: 319
TOTAL EXP TIME:    69.58 hours

DIRECT LINK 1:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=200&cltarget=gl551&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&
DIRECT LINK 2:     http://archive.eso.org/wdb/wdb/adp/phase3_main/query?wdbo=html%2fdisplay&max_rows_returned=800&target=proxima&resolver=none&wdb_input_file=&coord_sys=eq&coord1=&coord2=&box=02%2009%2000&tab_ra=on&tab_dec=on&tab_filter=on&filter=Any&tab_wavelength=on&wavelength=Any&tab_dataproduct_type=on&dataproduct_type=Any&tel_id=Any&tab_ins_id=on&ins_id=HARPS&obstech=Any&tab_date_obs=on&date_obs=&mjd_obs=&tab_exptime=on&exptime=&multi_ob=%25&tab_collection_name=on&tab_prog_id=on&prog_id=&username=&p3orig=%25&tab_origfile=on&origfile=&tab_dp_id=on&dp_id=&rel_date=&tab_referenc=on&referenc=&batch_id=&publication_date=&wdb_input_file_raw=&order_main=dummy&

OBJECT             PROG_ID            PI-COI             DATE-OBS                  EXPTIME           ORIGFILE
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T01:30:10.904   600.000400         HARPS.2013-05-05T01:30:10.905_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T04:14:17.962   600.000100         HARPS.2013-05-05T04:14:17.963_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-11T23:42:44.907   600.000000         HARPS.2013-05-11T23:42:44.907_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T06:50:52.525   499.994400         HARPS.2013-05-06T06:50:52.526_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Gl551              183.C-0437(A)      Bonfils            2013-03-23T06:10:04.154   900.000800         HARPS.2013-03-23T06:10:04.155_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T01:19:38.956   600.000900         HARPS.2013-05-05T01:19:38.957_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T06:24:17.018   500.000900         HARPS.2013-05-06T06:24:17.018_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T05:38:41.950   599.999500         HARPS.2013-05-05T05:38:41.950_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T08:01:55.989   499.994600         HARPS.2013-05-06T08:01:55.989_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T06:10:17.545   599.999900         HARPS.2013-05-05T06:10:17.546_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T03:51:00.940   500.000500         HARPS.2013-05-06T03:51:00.940_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T02:12:39.525   499.994100         HARPS.2013-05-06T02:12:39.526_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-06T03:59:53.513   500.000900         HARPS.2013-05-06T03:59:53.513_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-14T00:50:01.066   599.994300         HARPS.2013-05-14T00:50:01.067_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
Proxima            191.C-0505(A)      UNKNOWN            2013-05-05T06:31:21.942   599.999800         HARPS.2013-05-05T06:31:21.943_s1d_A_DRS_HARPS_3.5_ESOSDP.fits
